word_1	word_2	condition	WUP_score	correct_incorrect
tea	coffee	1	0.89	1
bread	butter	1	0.75	1
doctor	nurse	1	0.87	1
truck	vehicle	1	0.8	1
lava 	magma	1	0.78	1
cloth	apparel	1	0.71	1
fruit	orange	1	0.86	1
tea	ceffoe	2	0	0
bread	bettur	2	0	0
doctor	nusre	2	0	0
truck	vehclie	2	0	0
lava 	mamga	2	0	0
cloth	apaeprl	2	0	0
fruit	ornage	2	0	0
tea	oecfef	3	0	0
bread	uretbt	3	0	0
doctor	esunr	3	0	0
truck	cvehlie	3	0	0
lava 	gmama	3	0	0
cloth	elparpa	3	0	0
fruit	goanre	3	0	0
tea	bicycle	4	0.25	1
bread	laptop	4	0.2	1
doctor	shampoo	4	0.21	1
truck	paper	4	0.24	1
lava 	biscuit	4	0.33	1
cloth	charger	4	0.33	1
fruit	airplane	4	0.38	1
