word_1	word_2	condition	WUP_score	correct_incorrect
tea	coffee	1	0.89	1
bread	butter	1	0.75	1
doctor	nurse	1	0.87	1
truck	vehicle	1	0.8	1
lava	magma	1	0.78	1
cloth	apparel	1	0.71	1
fruit	orange	1	0.86	1
engine	train	1	0.63	1
office	chair	1	0.53	1
guitar	violin	1	0.86	1
insect	termite	1	0.95	1
blood	platelet	1	0.53	1
photo	camera	1	0.59	1
shirt	trouser	1	0.9	1
tongue	muscle	1	0.8	1
chocolate	biscuit	1	0.59	1
hotel	lobby	1	0.71	1
virus	bacteria	1	0.88	1
phone	radio	1	0.63	1
tennis	soccer	1	0.75	1
tea	cofefe	2	0	0
bread	buettr	2	0	0
doctor	nruse	2	0	0
truck	vclhiee	2	0	0
lava	mgmaa	2	0	0
cloth	aeprpal	2	0	0
fruit	ongrae	2	0	0
engine	tairn	2	0	0
office	caihr	2	0	0
guitar	voilin	2	0	0
insect	tmierte	2	0	0
blood	ptaelelt	2	0	0
photo	cmarea	2	0	0
shirt	tersuor	2	0	0
tongue	muslce	2	0	0
chocolate	bcsiiut	2	0	0
hotel	lbboy	2	0	0
virus	bieracta	2	0	0
phone	rdaio	2	0	0
tennis	scocer	2	0	0
tea	eceoff	3	0	0
bread	utrtbe	3	0	0
doctor	eusrn	3	0	0
truck	ilevehc	3	0	0
lava	mgama	3	0	0
cloth	paeaplr	3	0	0
fruit	rneaog	3	0	0
engine	tnria	3	0	0
office	iahcr	3	0	0
guitar	iovlni	3	0	0
insect	ttemier	3	0	0
blood	ttllpeae	3	0	0
photo	raacem	3	0	0
shirt	ueortrs	3	0	0
tongue	selmuc	3	0	0
chocolate	ibcstui	3	0	0
hotel	bbloy	3	0	0
virus	riatcaeb	3	0	0
phone	adior	3	0	0
tennis	rsocce	3	0	0
tea	bicycle	4	0.25	1
bread	laptop	4	0.2	1
doctor	shampoo	4	0.21	1
truck	paper	4	0.24	1
lava	biscuit	4	0.33	1
cloth	charger	4	0.33	1
fruit	airplane	4	0.38	1
engine	skeleton	4	0.12	1
office	jelly	4	0.24	1
guitar	lemon	4	0.36	1
insect	lunch	4	0.22	1
blood	skirt	4	0.27	1
photo	burger	4	0.42	1
shirt	flower	4	0.4	1
tongue	pencil	4	0.25	1
chocolate	diary	4	0.27	1
hotel	onion	4	0.44	1
virus	bottle	4	0.47	1
phone	light	4	0.2	1
tennis	mouse	4	0.09	1
